Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime
92,92,1,326.65,1,170.0,326.65,0
318,318,1,56.73,1,1.0,56.73,0
59,59,1,132.8,1,129.0,132.8,0
162,318,3,980.4,3,611.6666666666666,980.4,156
158,172,2,1535.27,2,1276.0,1535.27,14
325,325,1,211.95,1,95.0,211.95,0
10,368,49,410.8069387755102,49,176.69387755102042,410.8069387755102,358
5,361,13,869.8830769230769,13,554.0,869.8830769230769,356
14,302,13,388.35846153846154,13,239.0,388.35846153846154,288
45,45,1,426.26,1,236.0,426.26,0
32,137,12,605.6241666666666,12,268.5833333333333,605.6241666666666,105
35,259,3,2352.21,3,822.0,2352.21,223
35,143,3,727.7400000000001,3,415.0,727.7400000000001,108
1,243,6,1127.5116666666665,6,658.1666666666666,1127.5116666666665,241
212,289,29,816.944827586207,29,932.4827586206897,816.944827586207,77
14,313,11,237.4727272727273,11,95.45454545454545,237.4727272727273,298
119,317,6,304.4633333333333,6,179.83333333333334,304.4633333333333,197
165,165,1,708.1,1,414.0,708.1,0
67,67,1,1037.28,1,523.0,1037.28,0
366,366,1,285.29999999999995,1,174.0,285.29999999999995,0
14,374,11,400.5190909090909,11,258.3636363636364,400.5190909090909,360
39,39,1,452.0,1,252.0,452.0,0
1,212,3,208.92333333333332,3,93.66666666666667,208.92333333333332,210
276,276,1,357.4,1,130.0,357.4,0
256,256,2,22.67,2,15.0,22.67,0
36,280,2,2602.7000000000003,2,2224.5,2602.7000000000003,244
196,196,1,393.72,1,302.0,393.72,0
71,309,8,212.17375,8,87.375,212.17375,238
220,220,1,1126.0,1,561.0,1126.0,0
53,232,2,148.5,2,184.0,148.5,179
44,44,1,955.2,1,324.0,955.2,0
220,220,1,539.25,1,362.0,539.25,0
95,371,7,599.35,7,242.28571428571428,599.35,276
64,64,1,3084.02,1,1753.0,3084.02,0
277,277,1,580.08,1,400.0,580.08,0
66,235,2,668.28,2,538.5,668.28,168
112,112,1,385.7,1,212.0,385.7,0
10,368,12,213.54833333333332,12,116.5,213.54833333333332,357
24,305,9,737.8211111111111,9,386.55555555555554,737.8211111111111,280
134,283,3,324.57666666666665,3,169.66666666666666,324.57666666666665,149
130,165,2,193.4,2,146.0,193.4,34
164,164,1,316.48,1,192.0,316.48,0
51,278,5,419.396,5,360.0,419.396,227
322,322,1,1807.98,1,1074.0,1807.98,0
263,374,2,683.945,2,352.0,683.9449999999999,110
44,44,1,732.94,1,449.0,732.94,0
14,14,1,276.5,1,145.0,276.5,0
86,352,3,1882.1333333333334,3,822.6666666666666,1882.1333333333332,265
14,368,16,553.390625,16,270.875,553.390625,353
120,276,2,240.94,2,261.0,240.94,156
84,84,1,980.25,1,688.0,980.25,0
136,136,1,175.78,1,175.0,175.78,0
211,333,6,262.61333333333334,6,227.66666666666666,262.61333333333334,121
21,59,2,458.235,2,180.0,458.235,37
84,84,1,468.5,1,240.0,468.5,0
318,318,1,129.23,1,1.0,129.23,0
7,358,4,1681.295,4,599.5,1681.295,351
21,71,2,592.59,2,274.0,592.5899999999999,49
44,44,1,249.24,1,113.0,249.24,0
3,302,7,615.5114285714286,7,254.42857142857142,615.5114285714286,299
280,280,1,70.0,1,48.0,70.0,0
318,318,1,77.52,1,1.0,77.52,0
17,101,4,139.2175,4,98.75,139.2175,83
93,162,2,311.40999999999997,2,157.5,311.40999999999997,69
28,162,3,275.63,3,175.66666666666666,275.63,133
17,372,5,198.1,5,144.4,198.1,354
21,79,2,923.97,2,592.0,923.97,58
212,212,1,637.2,1,331.0,637.2,0
58,213,2,734.52,2,342.5,734.52,155
9,369,13,551.2353846153845,13,301.84615384615387,551.2353846153845,359
10,359,3,621.91,3,202.66666666666666,621.91,348
35,233,3,247.96,3,128.33333333333334,247.96,198
57,325,6,674.83,6,243.0,674.83,267
26,44,2,443.05,2,212.5,443.05,18
155,155,3,715.02,3,528.3333333333334,715.02,0
14,282,5,350.37800000000004,5,198.2,350.37800000000004,267
140,140,1,299.02,1,271.0,299.02,0
99,284,3,503.67,3,314.0,503.67,185
17,213,6,210.69000000000003,6,205.5,210.69000000000003,196
7,368,12,203.74,12,53.333333333333336,203.74,360
40,40,1,104.19999999999999,1,45.0,104.19999999999999,0
12,94,4,308.2375,4,232.25,308.2375,81
318,318,1,21.0,1,1.0,21.0,0
40,40,1,415.79,1,323.0,415.79,0
10,355,6,384.83500000000004,6,150.83333333333334,384.83500000000004,345
24,361,5,694.5980000000001,5,502.6,694.5980000000001,337
49,267,4,862.4475,4,485.25,862.4475,217
24,24,1,417.8,1,214.0,417.8,0
196,196,1,140.14,1,140.0,140.14,0
1,304,16,692.88375,16,405.8125,692.88375,302
52,332,6,573.7900000000001,6,296.6666666666667,573.79,279
145,232,2,1240.53,2,848.5,1240.53,87
21,59,2,779.11,2,361.0,779.11,37
92,329,5,568.214,5,274.2,568.2139999999999,237
156,200,2,402.44,2,347.0,402.44,44
18,161,3,1171.3933333333332,3,692.0,1171.3933333333332,143
171,184,2,245.0,2,168.5,245.0,12
28,92,2,620.615,2,388.5,620.615,64
374,374,1,141.0,1,1.0,141.0,0
14,179,4,570.2275,4,315.75,570.2275,165
275,275,1,249.8,1,86.0,249.8,0
70,263,2,413.135,2,215.0,413.135,193
21,247,6,826.6966666666667,6,476.1666666666667,826.6966666666667,225
66,330,3,480.1933333333333,3,235.66666666666666,480.1933333333334,263
45,304,4,441.03,4,260.25,441.03,259
3,331,27,525.9825925925926,27,201.74074074074073,525.9825925925926,327
73,337,3,264.65000000000003,3,119.33333333333333,264.65000000000003,263
18,332,5,334.22799999999995,5,274.6,334.22799999999995,313
14,101,3,87.91666666666667,3,62.333333333333336,87.91666666666667,86
70,70,1,97.05000000000001,1,31.0,97.05000000000001,0
162,162,1,1950.98,1,762.0,1950.98,0
59,59,1,261.35,1,80.0,261.35,0
61,198,3,785.5533333333333,3,379.0,785.5533333333333,137
72,72,1,162.0,1,216.0,162.0,0
9,253,10,313.824,10,152.3,313.824,244
260,304,2,119.7,2,90.5,119.7,43
150,362,2,594.08,2,146.0,594.08,212
53,305,2,125.3,2,64.0,125.30000000000001,251
30,30,1,1248.42,1,370.0,1248.42,0
14,313,6,1262.6466666666668,6,569.1666666666666,1262.6466666666668,298
21,302,2,382.12,2,115.0,382.12,280
242,242,1,2622.481,1,1460.0,2622.481,0
231,231,1,211.15,1,60.0,211.15,0
37,37,1,619.5,1,349.0,619.5,0
189,214,2,478.625,2,168.0,478.625,24
44,119,5,302.34000000000003,5,239.4,302.34,74
191,302,2,197.55,2,88.0,197.55,111
11,337,9,1850.3022222222223,9,1272.111111111111,1850.3022222222223,325
3,362,24,711.6975000000001,24,419.1666666666667,711.6974999999999,358
1,374,23,510.6821739130435,23,236.65217391304347,510.6821739130435,373
1,362,8,527.52625,8,337.0,527.52625,360
7,7,1,89.14,1,107.0,89.14,0
116,116,2,1069.455,2,701.5,1069.455,0
56,56,1,134.6,1,51.0,134.6,0
273,273,1,110.95,1,36.0,110.95,0
32,158,3,282.37,3,93.66666666666667,282.37,126
57,57,1,973.68,1,846.0,973.68,0
164,301,3,275.00666666666666,3,78.0,275.00666666666666,137
70,144,2,425.955,2,282.0,425.955,74
226,226,1,339.75,1,111.0,339.75,0
53,53,1,638.11,1,373.0,638.11,0
165,269,4,412.175,4,262.25,412.175,104
269,320,3,240.99333333333334,3,143.66666666666666,240.99333333333334,51
19,169,5,978.7620000000001,5,638.2,978.762,150
4,357,9,289.0211111111111,9,134.88888888888889,289.0211111111111,353
2,366,20,1055.397,20,499.95,1055.397,363
247,312,2,669.525,2,385.0,669.525,65
1,366,10,279.75300000000004,10,128.7,279.753,365
24,371,7,1340.6928571428573,7,815.0,1340.6928571428573,347
226,226,1,277.93,1,94.0,277.93,0
5,142,6,413.1566666666667,6,274.1666666666667,413.1566666666667,137
21,107,2,678.475,2,348.0,678.4749999999999,86
19,171,3,428.7033333333333,3,311.3333333333333,428.7033333333333,151
7,220,4,566.69,4,285.5,566.6899999999999,213
23,260,4,351.375,4,368.75,351.375,237
78,290,3,566.2766666666668,3,244.66666666666666,566.2766666666668,212
19,19,1,233.84,1,124.0,233.84,0
157,157,1,829.25,1,234.0,829.25,0
78,283,5,1375.96,5,640.8,1375.96,205
25,325,3,680.3066666666667,3,253.0,680.3066666666667,300
10,28,2,264.625,2,88.5,264.625,17
134,134,2,1855.25,2,1.0,1855.25,0
8,8,1,155.35,1,148.0,155.35,0
21,30,2,856.845,2,232.5,856.845,8
165,169,2,203.035,2,107.0,203.035,3
261,261,1,1201.52,1,1359.0,1201.52,0
95,227,4,1009.4425,4,438.25,1009.4425,131
122,318,3,308.46999999999997,3,156.0,308.46999999999997,195
176,176,1,254.55,1,97.0,254.55,0
5,368,16,316.314375,16,92.0625,316.314375,363
1,371,144,155.9576388888889,144,91.03472222222223,155.9576388888889,369
35,157,4,701.62,4,222.25,701.62,121
80,80,1,268.27,1,189.0,268.27,0
1,329,10,521.8709999999999,10,229.0,521.8709999999999,327
95,374,5,1422.3300000000002,5,804.0,1422.33,278
22,371,5,697.86,5,460.0,697.86,349
91,91,1,347.8,1,198.0,347.8,0
93,100,2,391.475,2,140.5,391.475,7
5,5,1,320.08,1,196.0,320.08,0
108,277,6,234.09666666666666,6,168.16666666666666,234.09666666666666,169
2,43,3,1026.2166666666667,3,600.0,1026.2166666666667,41
11,11,1,949.82,1,598.0,949.82,0
86,86,1,168.69000000000003,1,102.0,168.69000000000003,0
92,92,1,1895.0,1,1100.0,1895.0,0
121,121,1,282.3,1,104.0,282.3,0
200,200,1,124.25,1,109.0,124.25,0
171,171,1,98.7,1,53.0,98.7,0
24,45,2,150.04,2,103.0,150.04,21
303,303,1,55.5,1,46.0,55.5,0
93,93,1,519.45,1,458.0,519.45,0
32,238,3,317.81666666666666,3,303.3333333333333,317.81666666666666,206
7,372,7,391.5585714285714,7,231.0,391.5585714285714,365
234,234,1,337.4,1,285.0,337.4,0
10,155,6,381.22,6,155.16666666666666,381.22,144
165,165,1,1230.33,1,582.0,1230.33,0
171,367,2,394.225,2,161.0,394.225,195
245,245,1,728.5,1,324.0,728.5,0
49,49,1,398.52,1,249.0,398.52,0
99,164,4,111.225,4,48.5,111.225,65
148,329,2,90.75,2,16.0,90.75,181
46,46,1,266.93,1,140.0,266.93,0
9,260,6,143.91833333333332,6,58.833333333333336,143.91833333333332,250
170,170,1,426.47,1,177.0,426.47,0
7,37,2,235.925,2,115.5,235.925,30
264,264,1,381.0,1,182.0,381.0,0
1,60,2,276.04,2,107.5,276.04,58
57,57,1,1533.8899999999999,1,3199.0,1533.8899999999999,0
165,165,1,219.35,1,137.0,219.35,0
106,312,3,194.75,3,94.66666666666667,194.75,206
136,136,1,1071.82,1,505.0,1071.82,0
78,199,6,331.4733333333333,6,276.3333333333333,331.4733333333333,121
29,29,1,1092.81,1,872.0,1092.81,0
101,136,2,162.685,2,135.0,162.685,34
17,310,4,358.7375,4,148.25,358.7375,293
71,224,4,719.74,4,521.75,719.74,153
19,19,1,330.35,1,145.0,330.35,0
4,98,3,140.81666666666666,3,62.333333333333336,140.8166666666667,94
201,283,2,633.315,2,149.0,633.315,81
170,312,2,267.495,2,194.5,267.495,142
14,63,2,259.525,2,102.5,259.525,48
137,329,3,562.6,3,380.3333333333333,562.6,191
35,70,2,262.47,2,83.0,262.47,34
94,94,1,540.52,1,344.0,540.52,0
33,370,7,249.59714285714287,7,177.42857142857142,249.59714285714287,337
247,247,1,128.07999999999998,1,92.0,128.07999999999998,0
30,315,13,364.7692307692308,13,53.84615384615385,364.7692307692308,284
157,277,2,259.315,2,69.5,259.315,120
1,357,6,246.83833333333334,6,156.16666666666666,246.83833333333337,356
186,186,1,92.30000000000001,1,174.0,92.30000000000001,0
99,99,2,118.03,2,84.0,118.03,0
63,372,41,146.2641463414634,41,57.292682926829265,146.2641463414634,308
25,374,11,359.03363636363633,11,106.27272727272727,359.03363636363633,349
205,205,1,528.5600000000001,1,170.0,528.5600000000001,0
9,228,9,299.4166666666667,9,164.33333333333334,299.4166666666667,219
3,368,13,344.6392307692308,13,234.0,344.6392307692308,365
73,310,3,438.40000000000003,3,249.0,438.40000000000003,237
5,155,17,204.27117647058824,17,153.47058823529412,204.27117647058824,149
40,373,2,399.5,2,170.0,399.5,333
18,362,22,221.86818181818182,22,102.13636363636364,221.86818181818182,344
78,229,2,161.32,2,49.0,161.32,151
318,318,1,15.58,1,1.0,15.58,0
23,23,1,765.36,1,624.0,765.36,0
311,311,1,208.0,1,58.0,208.0,0
17,227,4,508.045,4,314.5,508.04499999999996,209
81,81,1,330.0,1,200.0,330.0,0
113,113,1,148.95,1,51.0,148.95,0
63,308,5,390.08000000000004,5,173.6,390.08000000000004,245
197,364,4,413.68,4,251.0,413.68,167
8,38,4,153.21,4,60.0,153.21,29
72,319,4,645.4,4,269.25,645.4,247
19,19,1,147.27,1,51.0,147.27,0
94,94,1,575.1,1,292.0,575.1,0
329,329,1,54.22,1,26.0,54.22,0
255,255,1,68.25,1,27.0,68.25,0
61,131,2,492.31,2,305.5,492.31,69
15,225,5,454.27,5,141.4,454.27,210
144,144,1,152.45,1,231.0,152.45,0
14,112,2,877.62,2,524.0,877.6200000000001,98
110,138,2,334.115,2,191.0,334.115,28
33,359,6,636.6533333333333,6,598.6666666666666,636.6533333333333,325
9,28,3,213.33333333333334,3,118.0,213.33333333333334,19
317,317,1,337.66999999999996,1,144.0,337.66999999999996,0
11,260,3,558.9833333333333,3,302.0,558.9833333333333,248
75,75,1,363.38,1,284.0,363.38,0
1,371,11,278.4109090909091,11,138.72727272727272,278.4109090909091,370
33,317,2,826.65,2,329.0,826.6500000000001,284
21,190,2,474.21,2,311.5,474.21,169
107,333,3,337.92,3,1056.0,337.92,226
30,226,2,931.885,2,553.0,931.885,195
37,326,8,175.79625000000001,8,132.375,175.79625000000001,289
17,210,2,320.065,2,139.5,320.065,192
19,19,1,222.4,1,100.0,222.4,0
17,138,4,96.36500000000001,4,31.0,96.36500000000001,121
23,23,1,329.3,1,201.0,329.3,0
94,295,8,63.6875,8,171.875,63.6875,201
32,32,1,263.38,1,140.0,263.38,0
211,211,1,157.35,1,33.0,157.35,0
17,179,2,148.875,2,69.5,148.875,162
99,295,2,148.10500000000002,2,117.5,148.10500000000002,195
49,49,1,366.4,1,108.0,366.4,0
58,58,1,340.33,1,139.0,340.33,0
64,64,1,833.53,1,493.0,833.53,0
212,318,2,509.21,2,266.0,509.21,105
31,130,2,254.455,2,88.5,254.45499999999998,98
16,266,3,342.0,3,600.0,342.0,249
60,289,3,308.17333333333335,3,222.66666666666666,308.17333333333335,228
15,257,5,544.296,5,388.0,544.296,241
187,187,1,1651.72,1,807.0,1651.72,0
4,374,9,468.58111111111117,9,201.44444444444446,468.58111111111117,370
36,36,1,223.98,1,336.0,223.98,0
8,225,3,270.3666666666667,3,119.66666666666667,270.3666666666667,216
78,320,3,511.5933333333333,3,199.33333333333334,511.5933333333333,242
36,366,5,753.04,5,196.8,753.04,330
262,262,1,10953.5,1,1.0,10953.5,0
207,361,3,107.95333333333333,3,97.33333333333333,107.95333333333333,153
2,374,39,495.7423076923077,39,312.35897435897436,495.7423076923077,371
26,211,2,298.8,2,81.0,298.8,184
29,366,8,191.9625,8,117.75,191.9625,337
228,228,1,35.28,1,108.0,35.28,0
47,361,4,380.9925,4,188.5,380.9925,314
30,30,1,197.31,1,145.0,197.31,0
14,185,7,320.3128571428571,7,203.85714285714286,320.3128571428571,171
16,374,42,1197.4138095238095,42,831.0,1197.4138095238097,357
175,303,8,212.32,8,201.125,212.32,128
16,365,5,205.82,5,90.0,205.82000000000002,349
372,372,1,181.65,1,31.0,181.65,0
11,243,8,260.395,8,168.5,260.395,231
99,372,5,318.668,5,195.2,318.668,273
15,332,12,1140.25,12,454.3333333333333,1140.25,317
360,360,1,377.49,1,381.0,377.49,0
1,1,1,258.75,1,69.0,258.75,0
194,241,2,248.25,2,111.0,248.25,47
292,292,1,437.16,1,281.0,437.16,0
72,72,1,324.45,1,149.0,324.45,0
9,9,1,304.04,1,184.0,304.04,0
366,373,2,126.24000000000001,2,112.0,126.24000000000001,6
18,372,14,811.3914285714285,14,418.0,811.3914285714285,353
22,334,9,238.85000000000002,9,128.77777777777777,238.85000000000002,311
158,158,1,498.96000000000004,1,280.0,498.96000000000004,0
274,274,1,162.45,1,83.0,162.45,0
320,360,3,137.94,3,102.0,137.94,39
177,364,5,937.8860000000001,5,427.4,937.8860000000001,186
36,219,2,233.67,2,59.0,233.67,182
120,120,1,150.95,1,109.0,150.95,0
49,297,4,330.5175,4,344.75,330.51750000000004,247
15,15,1,211.99,1,180.0,211.99,0
1,155,5,348.992,5,185.6,348.992,153
73,73,1,132.24,1,56.0,132.24,0
7,19,2,1323.01,2,417.0,1323.0100000000002,11
238,238,1,122.45,1,55.0,122.45,0
16,371,6,174.68833333333336,6,114.33333333333333,174.68833333333336,354
2,360,33,144.93575757575758,33,160.54545454545453,144.93575757575758,357
49,297,4,290.3,4,211.0,290.3,247
49,49,1,385.55,1,31.0,385.55,0
201,201,1,264.15,1,80.0,264.15,0
72,369,6,350.01500000000004,6,151.83333333333334,350.01500000000004,296
14,301,7,345.3971428571428,7,303.2857142857143,345.3971428571429,286
137,147,3,158.21333333333334,3,38.666666666666664,158.21333333333334,9
21,365,5,500.564,5,278.8,500.564,344
365,365,1,517.7,1,520.0,517.7,0
22,373,12,739.2400000000001,12,85.33333333333333,739.2400000000001,351
30,242,7,336.32428571428574,7,205.85714285714286,336.32428571428574,211
234,234,1,490.08000000000004,1,638.0,490.08000000000004,0
64,323,10,272.98400000000004,10,116.4,272.98400000000004,259
56,324,3,251.17,3,122.0,251.17,268
60,365,18,368.20222222222225,18,221.77777777777777,368.20222222222225,304
53,255,4,136.5,4,70.0,136.5,201
25,25,1,261.06,1,78.0,261.06,0
361,361,1,93.35000000000001,1,21.0,93.35000000000001,0
81,295,4,211.2175,4,127.75,211.2175,214
11,11,1,355.5,1,122.0,355.5,0
30,248,4,221.005,4,130.5,221.005,218
128,289,3,306.6933333333333,3,374.6666666666667,306.6933333333333,160
361,361,1,497.65000000000003,1,169.0,497.65000000000003,0
40,372,20,712.8340000000001,20,397.9,712.8340000000001,331
52,70,2,146.59,2,64.0,146.59,18
22,360,18,333.0522222222222,18,219.22222222222223,333.0522222222222,338
67,93,2,242.99,2,145.0,242.99,25
215,215,1,175.25,1,59.0,175.25,0
33,359,2,191.33,2,102.0,191.32999999999998,325
308,308,1,234.0,1,120.0,234.0,0
10,284,2,165.06,2,161.5,165.06,274
8,8,1,50.550000000000004,1,13.0,50.550000000000004,0
65,228,3,436.99666666666667,3,246.33333333333334,436.99666666666667,162
7,361,18,434.15722222222223,18,235.5,434.15722222222223,354
68,68,1,1914.8,1,1074.0,1914.8,0
74,239,6,540.0233333333333,6,319.6666666666667,540.0233333333334,164
49,284,7,355.0657142857143,7,187.28571428571428,355.0657142857143,235
15,369,6,204.99166666666667,6,66.16666666666667,204.99166666666667,353
198,295,2,309.48,2,139.0,309.48,97
10,370,8,283.8575,8,149.25,283.8575,360
65,65,1,65.3,1,35.0,65.3,0
164,164,1,759.13,1,299.0,759.13,0
106,218,2,277.935,2,90.5,277.935,111
367,367,1,323.39,1,241.0,323.39,0
124,362,4,189.43,4,211.5,189.43,237
21,324,13,794.4000000000001,13,1966.1538461538462,794.4000000000001,303
10,159,2,339.9,2,30.0,339.9,148
4,4,1,402.36,1,174.0,402.36,0
43,190,5,658.568,5,461.8,658.568,147
28,96,7,257.9685714285714,7,128.42857142857142,257.9685714285714,67
65,65,1,30.0,1,15.0,30.0,0
5,37,2,139.955,2,76.5,139.955,31
67,67,1,442.32,1,282.0,442.32,0
320,320,1,307.1,1,38.0,307.1,0
35,372,9,337.09777777777776,9,188.77777777777777,337.09777777777776,336
220,358,4,252.6825,4,72.5,252.6825,138
86,225,4,199.7825,4,83.75,199.7825,139
234,368,3,496.19666666666666,3,270.6666666666667,496.19666666666666,133
128,336,10,428.758,10,211.9,428.758,208
37,122,2,251.82,2,92.0,251.82,84
92,92,1,319.94,1,241.0,319.94,0
9,359,17,326.9188235294118,17,119.88235294117646,326.9188235294118,349
72,317,5,445.94399999999996,5,286.6,445.9440000000001,245
25,37,2,375.78000000000003,2,176.0,375.78,11
2,360,19,340.93,19,181.52631578947367,340.93,357
214,255,2,77.9,2,36.0,77.9,40
56,290,6,461.8633333333333,6,200.33333333333334,461.8633333333333,234
257,257,1,127.65,1,47.0,127.65,0
65,65,1,1106.7,1,927.0,1106.7,0
187,187,1,209.48,1,158.0,209.48,0
166,267,3,236.53,3,152.0,236.53,101
49,254,9,234.26333333333332,9,91.66666666666667,234.26333333333332,205
116,116,1,188.4,1,116.0,188.4,0
186,227,2,280.625,2,77.0,280.625,41
9,183,5,211.01,5,76.2,211.01000000000005,174
45,82,2,196.525,2,49.5,196.52499999999998,36
5,179,16,324.094375,16,592.5625,324.094375,173
95,368,3,174.29999999999998,3,87.33333333333333,174.29999999999998,272
248,248,1,129.22,1,30.0,129.22,0
47,73,2,209.04,2,130.5,209.04,26
147,359,4,344.685,4,206.5,344.685,212
93,93,1,135.4,1,44.0,135.4,0
2,364,8,290.79375,8,238.625,290.79375,362
2,374,32,528.2659375000001,32,204.78125,528.2659375000001,372
53,53,1,199.08,1,96.0,199.08,0
37,245,3,74.21666666666667,3,24.333333333333332,74.21666666666667,208
7,367,19,1624.6194736842106,19,1176.578947368421,1624.6194736842106,360
60,353,12,310.1766666666667,12,345.1666666666667,310.1766666666667,292
61,61,1,91.67999999999999,1,120.0,91.67999999999999,0
127,127,1,122.39999999999999,1,144.0,122.39999999999999,0
315,374,6,336.2,6,121.33333333333333,336.2,59
18,18,1,439.33000000000004,1,155.0,439.33000000000004,0
362,362,1,313.64,1,86.0,313.64,0
53,53,1,236.11,1,76.0,236.11,0
4,373,109,531.0591743119265,109,267.20183486238534,531.0591743119265,368
1,130,13,399.17846153846153,13,90.84615384615384,399.17846153846153,129
365,365,2,988.0,2,436.5,988.0,0
50,303,7,237.49285714285716,7,55.0,237.49285714285716,253
9,371,48,981.4829166666667,48,463.875,981.4829166666667,362
4,25,2,252.9,2,186.0,252.9,20
30,30,1,419.70000000000005,1,6.0,419.70000000000005,0
24,374,18,406.71555555555557,18,165.83333333333334,406.71555555555557,349
134,317,3,198.07000000000002,3,121.66666666666667,198.06999999999996,182
1,218,14,376.6307142857143,14,169.42857142857142,376.6307142857143,217
73,213,2,232.85000000000002,2,172.0,232.85000000000002,139
51,289,3,203.54,3,110.0,203.54,237
72,72,1,72.0,1,100.0,72.0,0
49,49,1,526.96,1,213.0,526.96,0
49,309,5,744.29,5,604.6,744.29,259
8,71,2,374.23,2,372.5,374.23,62
187,187,1,347.49,1,237.0,347.49,0
73,374,5,293.76000000000005,5,75.0,293.76000000000005,301
354,354,1,321.88000000000005,1,180.0,321.88000000000005,0
177,177,1,20.6,1,11.0,20.6,0
2,257,14,454.07714285714286,14,106.78571428571429,454.07714285714286,254
366,366,1,234.38,1,74.0,234.38,0
15,235,6,533.32,6,394.5,533.32,220
1,259,12,138.24166666666665,12,93.5,138.24166666666667,258
12,75,4,304.4,4,106.0,304.4,62
304,304,1,134.9,1,110.0,134.9,0
108,165,2,253.375,2,134.0,253.375,56
21,21,1,885.33,1,619.0,885.33,0
159,159,1,148.62,1,53.0,148.62,0
2,283,7,271.23,7,180.85714285714286,271.23,280
