CustomerID,duration,event_observed,Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime
12414,0,0,99,99,3,130.0,3,65.0,130.0,0
12415,152,0,11,163,7,2791.977142857143,7,2010.4285714285713,2791.977142857143,152
12416,0,1,292,292,1,202.56,1,132.0,202.56,0
12417,323,0,46,369,11,286.21,11,121.0909090909091,286.21,323
12418,216,0,49,266,3,450.8733333333333,3,227.0,450.8733333333334,216
12419,27,0,21,49,2,251.505,2,115.5,251.505,27
12421,90,0,51,141,2,145.78,2,84.0,145.78,90
12422,327,0,30,357,14,316.30285714285714,14,159.0,316.30285714285714,327
12423,78,0,23,101,2,381.54,2,227.0,381.54,78
12424,125,0,58,184,2,789.535,2,642.5,789.535,125
12425,0,0,84,84,1,964.21,1,651.0,964.21,0
12426,0,1,298,298,1,762.48,1,326.0,762.48,0
12427,0,0,7,7,1,303.5,1,79.0,303.5,0
12429,180,0,1,182,5,747.1020000000001,5,357.4,747.1020000000001,180
12431,320,0,9,329,13,336.1938461538462,13,139.30769230769232,336.1938461538462,320
12433,110,0,2,112,5,1441.078,5,1209.0,1441.078,110
12434,0,0,17,17,1,297.29,1,138.0,297.29,0
12435,340,0,32,373,4,1524.01,4,725.75,1524.01,340
12437,341,0,31,373,21,368.19,21,241.8095238095238,368.19,341
12439,43,1,318,361,2,571.44,2,239.0,571.44,43
12440,255,0,98,353,2,429.6,2,165.5,429.6,255
12441,0,0,2,2,1,173.55,1,121.0,173.55,0
12443,0,1,368,368,1,485.31,1,182.0,485.31,0
12445,0,0,56,56,1,301.58000000000004,1,144.0,301.58000000000004,0
12449,28,0,46,74,2,384.3,2,364.5,384.3,28
12450,75,0,35,110,3,163.44,3,104.66666666666667,163.44000000000003,75
12451,66,0,99,165,3,1211.4533333333334,3,928.0,1211.4533333333334,66
12454,25,0,31,57,4,3287.86,4,1674.25,3287.86,25
12455,276,0,81,357,4,853.2725,4,303.25,853.2725,276
12457,0,0,71,71,1,632.68,1,251.0,632.68,0
12458,60,0,63,123,2,415.045,2,240.0,415.045,60
12459,0,1,241,241,1,454.36,1,258.0,454.36,0
12460,0,0,92,92,1,326.65,1,170.0,326.65,0
12466,0,1,318,318,1,56.73,1,1.0,56.73,0
12467,0,0,59,59,1,132.8,1,129.0,132.8,0
12468,156,0,162,318,3,980.4,3,611.6666666666666,980.4,156
12469,14,0,158,172,2,1535.27,2,1276.0,1535.27,14
12470,0,1,325,325,1,211.95,1,95.0,211.95,0
12471,358,0,10,368,49,410.8069387755102,49,176.69387755102042,410.8069387755102,358
12472,356,0,5,361,13,869.8830769230769,13,554.0,869.8830769230769,356
12474,288,0,14,302,13,388.35846153846154,13,239.0,388.35846153846154,288
12475,0,0,45,45,1,426.26,1,236.0,426.26,0
12476,105,0,32,137,12,605.6241666666666,12,268.5833333333333,605.6241666666666,105
12477,223,0,35,259,3,2352.21,3,822.0,2352.21,223
12480,108,0,35,143,3,727.7400000000001,3,415.0,727.7400000000001,108
12481,241,0,1,243,6,1127.5116666666665,6,658.1666666666666,1127.5116666666665,241
12482,77,1,212,289,29,816.944827586207,29,932.4827586206897,816.944827586207,77
12483,298,0,14,313,11,237.4727272727273,11,95.45454545454545,237.4727272727273,298
12484,197,0,119,317,6,304.4633333333333,6,179.83333333333334,304.4633333333333,197
12485,0,0,165,165,1,708.1,1,414.0,708.1,0
12486,0,0,67,67,1,1037.28,1,523.0,1037.28,0
12487,0,1,366,366,1,285.29999999999995,1,174.0,285.29999999999995,0
12490,360,0,14,374,11,400.5190909090909,11,258.3636363636364,400.5190909090909,360
12492,0,0,39,39,1,452.0,1,252.0,452.0,0
12494,210,0,1,212,3,208.92333333333332,3,93.66666666666667,208.92333333333332,210
12495,0,1,276,276,1,357.4,1,130.0,357.4,0
12496,0,1,256,256,2,22.67,2,15.0,22.67,0
12497,244,0,36,280,2,2602.7000000000003,2,2224.5,2602.7000000000003,244
12499,0,1,196,196,1,393.72,1,302.0,393.72,0
12500,238,0,71,309,8,212.17375,8,87.375,212.17375,238
12503,0,1,220,220,1,1126.0,1,561.0,1126.0,0
12504,179,0,53,232,2,148.5,2,184.0,148.5,179
12505,0,0,44,44,1,955.2,1,324.0,955.2,0
12507,0,1,220,220,1,539.25,1,362.0,539.25,0
12510,276,0,95,371,7,599.35,7,242.28571428571428,599.35,276
12511,0,0,64,64,1,3084.02,1,1753.0,3084.02,0
12514,0,1,277,277,1,580.08,1,400.0,580.08,0
12516,168,0,66,235,2,668.28,2,538.5,668.28,168
12519,0,0,112,112,1,385.7,1,212.0,385.7,0
12523,357,0,10,368,12,213.54833333333332,12,116.5,213.54833333333332,357
12524,280,0,24,305,9,737.8211111111111,9,386.55555555555554,737.8211111111111,280
12525,149,0,134,283,3,324.57666666666665,3,169.66666666666666,324.57666666666665,149
12527,34,0,130,165,2,193.4,2,146.0,193.4,34
12529,0,0,164,164,1,316.48,1,192.0,316.48,0
12530,227,0,51,278,5,419.396,5,360.0,419.396,227
12531,0,1,322,322,1,1807.98,1,1074.0,1807.98,0
12533,110,1,263,374,2,683.945,2,352.0,683.9449999999999,110
12537,0,0,44,44,1,732.94,1,449.0,732.94,0
12538,0,0,14,14,1,276.5,1,145.0,276.5,0
12539,265,0,86,352,3,1882.1333333333334,3,822.6666666666666,1882.1333333333332,265
12540,353,0,14,368,16,553.390625,16,270.875,553.390625,353
12542,156,0,120,276,2,240.94,2,261.0,240.94,156
12543,0,0,84,84,1,980.25,1,688.0,980.25,0
12547,0,0,136,136,1,175.78,1,175.0,175.78,0
12549,121,1,211,333,6,262.61333333333334,6,227.66666666666666,262.61333333333334,121
12553,37,0,21,59,2,458.235,2,180.0,458.235,37
12554,0,0,84,84,1,468.5,1,240.0,468.5,0
12555,0,1,318,318,1,129.23,1,1.0,129.23,0
12557,351,0,7,358,4,1681.295,4,599.5,1681.295,351
12562,49,0,21,71,2,592.59,2,274.0,592.5899999999999,49
12563,0,0,44,44,1,249.24,1,113.0,249.24,0
12567,299,0,3,302,7,615.5114285714286,7,254.42857142857142,615.5114285714286,299
12568,0,1,280,280,1,70.0,1,48.0,70.0,0
12570,0,1,318,318,1,77.52,1,1.0,77.52,0
12573,83,0,17,101,4,139.2175,4,98.75,139.2175,83
12575,69,0,93,162,2,311.40999999999997,2,157.5,311.40999999999997,69
12576,133,0,28,162,3,275.63,3,175.66666666666666,275.63,133
12577,354,0,17,372,5,198.1,5,144.4,198.1,354
12578,58,0,21,79,2,923.97,2,592.0,923.97,58
12580,0,1,212,212,1,637.2,1,331.0,637.2,0
12582,155,0,58,213,2,734.52,2,342.5,734.52,155
12583,359,0,9,369,13,551.2353846153845,13,301.84615384615387,551.2353846153845,359
12586,348,0,10,359,3,621.91,3,202.66666666666666,621.91,348
12588,198,0,35,233,3,247.96,3,128.33333333333334,247.96,198
12589,267,0,57,325,6,674.83,6,243.0,674.83,267
12591,18,0,26,44,2,443.05,2,212.5,443.05,18
12592,0,0,155,155,3,715.02,3,528.3333333333334,715.02,0
12594,267,0,14,282,5,350.37800000000004,5,198.2,350.37800000000004,267
12595,0,0,140,140,1,299.02,1,271.0,299.02,0
12598,185,0,99,284,3,503.67,3,314.0,503.67,185
12599,196,0,17,213,6,210.69000000000003,6,205.5,210.69000000000003,196
12600,360,0,7,368,12,203.74,12,53.333333333333336,203.74,360
12601,0,0,40,40,1,104.19999999999999,1,45.0,104.19999999999999,0
12605,81,0,12,94,4,308.2375,4,232.25,308.2375,81
12606,0,1,318,318,1,21.0,1,1.0,21.0,0
12608,0,0,40,40,1,415.79,1,323.0,415.79,0
12609,345,0,10,355,6,384.83500000000004,6,150.83333333333334,384.83500000000004,345
12613,337,0,24,361,5,694.5980000000001,5,502.6,694.5980000000001,337
12615,217,0,49,267,4,862.4475,4,485.25,862.4475,217
12616,0,0,24,24,1,417.8,1,214.0,417.8,0
12619,0,1,196,196,1,140.14,1,140.0,140.14,0
12621,302,0,1,304,16,692.88375,16,405.8125,692.88375,302
12623,279,0,52,332,6,573.7900000000001,6,296.6666666666667,573.79,279
12625,87,0,145,232,2,1240.53,2,848.5,1240.53,87
12629,37,0,21,59,2,779.11,2,361.0,779.11,37
12631,237,0,92,329,5,568.214,5,274.2,568.2139999999999,237
12632,44,0,156,200,2,402.44,2,347.0,402.44,44
12633,143,0,18,161,3,1171.3933333333332,3,692.0,1171.3933333333332,143
12634,12,0,171,184,2,245.0,2,168.5,245.0,12
12635,64,0,28,92,2,620.615,2,388.5,620.615,64
12636,0,1,374,374,1,141.0,1,1.0,141.0,0
12637,165,0,14,179,4,570.2275,4,315.75,570.2275,165
12638,0,1,275,275,1,249.8,1,86.0,249.8,0
12639,193,0,70,263,2,413.135,2,215.0,413.135,193
12643,225,0,21,247,6,826.6966666666667,6,476.1666666666667,826.6966666666667,225
12644,263,0,66,330,3,480.1933333333333,3,235.66666666666666,480.1933333333334,263
12645,259,0,45,304,4,441.03,4,260.25,441.03,259
12647,327,0,3,331,27,525.9825925925926,27,201.74074074074073,525.9825925925926,327
12648,263,0,73,337,3,264.65000000000003,3,119.33333333333333,264.65000000000003,263
12649,313,0,18,332,5,334.22799999999995,5,274.6,334.22799999999995,313
12651,86,0,14,101,3,87.91666666666667,3,62.333333333333336,87.91666666666667,86
12652,0,0,70,70,1,97.05000000000001,1,31.0,97.05000000000001,0
12653,0,0,162,162,1,1950.98,1,762.0,1950.98,0
12655,0,0,59,59,1,261.35,1,80.0,261.35,0
12656,137,0,61,198,3,785.5533333333333,3,379.0,785.5533333333333,137
12661,0,0,72,72,1,162.0,1,216.0,162.0,0
12662,244,0,9,253,10,313.824,10,152.3,313.824,244
12663,43,1,260,304,2,119.7,2,90.5,119.7,43
12664,212,0,150,362,2,594.08,2,146.0,594.08,212
12665,251,0,53,305,2,125.3,2,64.0,125.30000000000001,251
12666,0,0,30,30,1,1248.42,1,370.0,1248.42,0
12668,298,0,14,313,6,1262.6466666666668,6,569.1666666666666,1262.6466666666668,298
12670,280,0,21,302,2,382.12,2,115.0,382.12,280
12671,0,1,242,242,1,2622.481,1,1460.0,2622.481,0
12672,0,1,231,231,1,211.15,1,60.0,211.15,0
12673,0,0,37,37,1,619.5,1,349.0,619.5,0
12675,24,1,189,214,2,478.625,2,168.0,478.625,24
12676,74,0,44,119,5,302.34000000000003,5,239.4,302.34,74
12677,111,1,191,302,2,197.55,2,88.0,197.55,111
12678,325,0,11,337,9,1850.3022222222223,9,1272.111111111111,1850.3022222222223,325
12681,358,0,3,362,24,711.6975000000001,24,419.1666666666667,711.6974999999999,358
12682,373,0,1,374,23,510.6821739130435,23,236.65217391304347,510.6821739130435,373
12683,360,0,1,362,8,527.52625,8,337.0,527.52625,360
12686,0,0,7,7,1,89.14,1,107.0,89.14,0
12687,0,0,116,116,2,1069.455,2,701.5,1069.455,0
12691,0,0,56,56,1,134.6,1,51.0,134.6,0
12692,0,1,273,273,1,110.95,1,36.0,110.95,0
12693,126,0,32,158,3,282.37,3,93.66666666666667,282.37,126
12694,0,0,57,57,1,973.68,1,846.0,973.68,0
12695,137,0,164,301,3,275.00666666666666,3,78.0,275.00666666666666,137
12696,74,0,70,144,2,425.955,2,282.0,425.955,74
12698,0,1,226,226,1,339.75,1,111.0,339.75,0
12699,0,0,53,53,1,638.11,1,373.0,638.11,0
12701,104,0,165,269,4,412.175,4,262.25,412.175,104
12703,51,1,269,320,3,240.99333333333334,3,143.66666666666666,240.99333333333334,51
12705,150,0,19,169,5,978.7620000000001,5,638.2,978.762,150
12708,353,0,4,357,9,289.0211111111111,9,134.88888888888889,289.0211111111111,353
12709,363,0,2,366,20,1055.397,20,499.95,1055.397,363
12711,65,1,247,312,2,669.525,2,385.0,669.525,65
12712,365,0,1,366,10,279.75300000000004,10,128.7,279.753,365
12714,347,0,24,371,7,1340.6928571428573,7,815.0,1340.6928571428573,347
12717,0,1,226,226,1,277.93,1,94.0,277.93,0
12720,137,0,5,142,6,413.1566666666667,6,274.1666666666667,413.1566666666667,137
12721,86,0,21,107,2,678.475,2,348.0,678.4749999999999,86
12724,151,0,19,171,3,428.7033333333333,3,311.3333333333333,428.7033333333333,151
12725,213,0,7,220,4,566.69,4,285.5,566.6899999999999,213
12726,237,0,23,260,4,351.375,4,368.75,351.375,237
12727,212,0,78,290,3,566.2766666666668,3,244.66666666666666,566.2766666666668,212
12728,0,0,19,19,1,233.84,1,124.0,233.84,0
12730,0,0,157,157,1,829.25,1,234.0,829.25,0
12731,205,0,78,283,5,1375.96,5,640.8,1375.96,205
12733,300,0,25,325,3,680.3066666666667,3,253.0,680.3066666666667,300
12734,17,0,10,28,2,264.625,2,88.5,264.625,17
12737,0,0,134,134,2,1855.25,2,1.0,1855.25,0
12738,0,0,8,8,1,155.35,1,148.0,155.35,0
12739,8,0,21,30,2,856.845,2,232.5,856.845,8
12741,3,0,165,169,2,203.035,2,107.0,203.035,3
12742,0,1,261,261,1,1201.52,1,1359.0,1201.52,0
12744,131,0,95,227,4,1009.4425,4,438.25,1009.4425,131
12745,195,0,122,318,3,308.46999999999997,3,156.0,308.46999999999997,195
12746,0,0,176,176,1,254.55,1,97.0,254.55,0
12747,363,0,5,368,16,316.314375,16,92.0625,316.314375,363
12748,369,0,1,371,144,155.9576388888889,144,91.03472222222223,155.9576388888889,369
12749,121,0,35,157,4,701.62,4,222.25,701.62,121
12751,0,0,80,80,1,268.27,1,189.0,268.27,0
12755,327,0,1,329,10,521.8709999999999,10,229.0,521.8709999999999,327
12758,278,0,95,374,5,1422.3300000000002,5,804.0,1422.33,278
12759,349,0,22,371,5,697.86,5,460.0,697.86,349
12760,0,0,91,91,1,347.8,1,198.0,347.8,0
12761,7,0,93,100,2,391.475,2,140.5,391.475,7
12763,0,0,5,5,1,320.08,1,196.0,320.08,0
12765,169,0,108,277,6,234.09666666666666,6,168.16666666666666,234.09666666666666,169
12766,41,0,2,43,3,1026.2166666666667,3,600.0,1026.2166666666667,41
12767,0,0,11,11,1,949.82,1,598.0,949.82,0
12768,0,0,86,86,1,168.69000000000003,1,102.0,168.69000000000003,0
12770,0,0,92,92,1,1895.0,1,1100.0,1895.0,0
12771,0,0,121,121,1,282.3,1,104.0,282.3,0
12773,0,1,200,200,1,124.25,1,109.0,124.25,0
12774,0,0,171,171,1,98.7,1,53.0,98.7,0
12775,21,0,24,45,2,150.04,2,103.0,150.04,21
12776,0,1,303,303,1,55.5,1,46.0,55.5,0
12777,0,0,93,93,1,519.45,1,458.0,519.45,0
12778,206,0,32,238,3,317.81666666666666,3,303.3333333333333,317.81666666666666,206
12779,365,0,7,372,7,391.5585714285714,7,231.0,391.5585714285714,365
12780,0,1,234,234,1,337.4,1,285.0,337.4,0
12782,144,0,10,155,6,381.22,6,155.16666666666666,381.22,144
12784,0,0,165,165,1,1230.33,1,582.0,1230.33,0
12785,195,0,171,367,2,394.225,2,161.0,394.225,195
12786,0,1,245,245,1,728.5,1,324.0,728.5,0
12787,0,0,49,49,1,398.52,1,249.0,398.52,0
12788,65,0,99,164,4,111.225,4,48.5,111.225,65
12789,181,0,148,329,2,90.75,2,16.0,90.75,181
12790,0,0,46,46,1,266.93,1,140.0,266.93,0
12791,250,0,9,260,6,143.91833333333332,6,58.833333333333336,143.91833333333332,250
12792,0,0,170,170,1,426.47,1,177.0,426.47,0
12793,30,0,7,37,2,235.925,2,115.5,235.925,30
12796,0,1,264,264,1,381.0,1,182.0,381.0,0
12797,58,0,1,60,2,276.04,2,107.5,276.04,58
12798,0,0,57,57,1,1533.8899999999999,1,3199.0,1533.8899999999999,0
12799,0,0,165,165,1,219.35,1,137.0,219.35,0
12800,206,0,106,312,3,194.75,3,94.66666666666667,194.75,206
12801,0,0,136,136,1,1071.82,1,505.0,1071.82,0
12802,121,0,78,199,6,331.4733333333333,6,276.3333333333333,331.4733333333333,121
12803,0,0,29,29,1,1092.81,1,872.0,1092.81,0
12804,34,0,101,136,2,162.685,2,135.0,162.685,34
12805,293,0,17,310,4,358.7375,4,148.25,358.7375,293
12806,153,0,71,224,4,719.74,4,521.75,719.74,153
12807,0,0,19,19,1,330.35,1,145.0,330.35,0
12808,94,0,4,98,3,140.81666666666666,3,62.333333333333336,140.8166666666667,94
12809,81,1,201,283,2,633.315,2,149.0,633.315,81
12810,142,0,170,312,2,267.495,2,194.5,267.495,142
12811,48,0,14,63,2,259.525,2,102.5,259.525,48
12813,191,0,137,329,3,562.6,3,380.3333333333333,562.6,191
12817,34,0,35,70,2,262.47,2,83.0,262.47,34
12819,0,0,94,94,1,540.52,1,344.0,540.52,0
12820,337,0,33,370,7,249.59714285714287,7,177.42857142857142,249.59714285714287,337
12821,0,1,247,247,1,128.07999999999998,1,92.0,128.07999999999998,0
12823,284,0,30,315,13,364.7692307692308,13,53.84615384615385,364.7692307692308,284
12825,120,0,157,277,2,259.315,2,69.5,259.315,120
12826,356,0,1,357,6,246.83833333333334,6,156.16666666666666,246.83833333333337,356
12829,0,1,186,186,1,92.30000000000001,1,174.0,92.30000000000001,0
12831,0,0,99,99,2,118.03,2,84.0,118.03,0
12835,308,0,63,372,41,146.2641463414634,41,57.292682926829265,146.2641463414634,308
12836,349,0,25,374,11,359.03363636363633,11,106.27272727272727,359.03363636363633,349
12837,0,1,205,205,1,528.5600000000001,1,170.0,528.5600000000001,0
12838,219,0,9,228,9,299.4166666666667,9,164.33333333333334,299.4166666666667,219
12839,365,0,3,368,13,344.6392307692308,13,234.0,344.6392307692308,365
12840,237,0,73,310,3,438.40000000000003,3,249.0,438.40000000000003,237
12841,149,0,5,155,17,204.27117647058824,17,153.47058823529412,204.27117647058824,149
12842,333,0,40,373,2,399.5,2,170.0,399.5,333
12843,344,0,18,362,22,221.86818181818182,22,102.13636363636364,221.86818181818182,344
12844,151,0,78,229,2,161.32,2,49.0,161.32,151
12846,0,1,318,318,1,15.58,1,1.0,15.58,0
12847,0,0,23,23,1,765.36,1,624.0,765.36,0
12848,0,1,311,311,1,208.0,1,58.0,208.0,0
12849,209,0,17,227,4,508.045,4,314.5,508.04499999999996,209
12850,0,0,81,81,1,330.0,1,200.0,330.0,0
12851,0,0,113,113,1,148.95,1,51.0,148.95,0
12853,245,0,63,308,5,390.08000000000004,5,173.6,390.08000000000004,245
12854,167,1,197,364,4,413.68,4,251.0,413.68,167
12855,29,0,8,38,4,153.21,4,60.0,153.21,29
12857,247,0,72,319,4,645.4,4,269.25,645.4,247
12858,0,0,19,19,1,147.27,1,51.0,147.27,0
12859,0,0,94,94,1,575.1,1,292.0,575.1,0
12860,0,1,329,329,1,54.22,1,26.0,54.22,0
12861,0,1,255,255,1,68.25,1,27.0,68.25,0
12862,69,0,61,131,2,492.31,2,305.5,492.31,69
12863,210,0,15,225,5,454.27,5,141.4,454.27,210
12864,0,0,144,144,1,152.45,1,231.0,152.45,0
12865,98,0,14,112,2,877.62,2,524.0,877.6200000000001,98
12866,28,0,110,138,2,334.115,2,191.0,334.115,28
12867,325,0,33,359,6,636.6533333333333,6,598.6666666666666,636.6533333333333,325
12868,19,0,9,28,3,213.33333333333334,3,118.0,213.33333333333334,19
12869,0,1,317,317,1,337.66999999999996,1,144.0,337.66999999999996,0
12870,248,0,11,260,3,558.9833333333333,3,302.0,558.9833333333333,248
12871,0,0,75,75,1,363.38,1,284.0,363.38,0
12872,370,0,1,371,11,278.4109090909091,11,138.72727272727272,278.4109090909091,370
12873,284,0,33,317,2,826.65,2,329.0,826.6500000000001,284
12874,169,0,21,190,2,474.21,2,311.5,474.21,169
12875,226,0,107,333,3,337.92,3,1056.0,337.92,226
12876,195,0,30,226,2,931.885,2,553.0,931.885,195
12877,289,0,37,326,8,175.79625000000001,8,132.375,175.79625000000001,289
12880,192,0,17,210,2,320.065,2,139.5,320.065,192
12887,0,0,19,19,1,222.4,1,100.0,222.4,0
12889,121,0,17,138,4,96.36500000000001,4,31.0,96.36500000000001,121
12890,0,0,23,23,1,329.3,1,201.0,329.3,0
12891,201,0,94,295,8,63.6875,8,171.875,63.6875,201
12892,0,0,32,32,1,263.38,1,140.0,263.38,0
12894,0,1,211,211,1,157.35,1,33.0,157.35,0
12897,162,0,17,179,2,148.875,2,69.5,148.875,162
12898,195,0,99,295,2,148.10500000000002,2,117.5,148.10500000000002,195
12899,0,0,49,49,1,366.4,1,108.0,366.4,0
12900,0,0,58,58,1,340.33,1,139.0,340.33,0
12903,0,0,64,64,1,833.53,1,493.0,833.53,0
12905,105,1,212,318,2,509.21,2,266.0,509.21,105
12907,98,0,31,130,2,254.455,2,88.5,254.45499999999998,98
12908,249,0,16,266,3,342.0,3,600.0,342.0,249
12909,228,0,60,289,3,308.17333333333335,3,222.66666666666666,308.17333333333335,228
12910,241,0,15,257,5,544.296,5,388.0,544.296,241
12911,0,1,187,187,1,1651.72,1,807.0,1651.72,0
12913,370,0,4,374,9,468.58111111111117,9,201.44444444444446,468.58111111111117,370
12914,0,0,36,36,1,223.98,1,336.0,223.98,0
12915,216,0,8,225,3,270.3666666666667,3,119.66666666666667,270.3666666666667,216
12916,242,0,78,320,3,511.5933333333333,3,199.33333333333334,511.5933333333333,242
12917,330,0,36,366,5,753.04,5,196.8,753.04,330
12918,0,1,262,262,1,10953.5,1,1.0,10953.5,0
12920,153,1,207,361,3,107.95333333333333,3,97.33333333333333,107.95333333333333,153
12921,371,0,2,374,39,495.7423076923077,39,312.35897435897436,495.7423076923077,371
12923,184,0,26,211,2,298.8,2,81.0,298.8,184
12924,337,0,29,366,8,191.9625,8,117.75,191.9625,337
12925,0,1,228,228,1,35.28,1,108.0,35.28,0
12926,314,0,47,361,4,380.9925,4,188.5,380.9925,314
12927,0,0,30,30,1,197.31,1,145.0,197.31,0
12928,171,0,14,185,7,320.3128571428571,7,203.85714285714286,320.3128571428571,171
12931,357,0,16,374,42,1197.4138095238095,42,831.0,1197.4138095238097,357
12932,128,0,175,303,8,212.32,8,201.125,212.32,128
12933,349,0,16,365,5,205.82,5,90.0,205.82000000000002,349
12934,0,1,372,372,1,181.65,1,31.0,181.65,0
12935,231,0,11,243,8,260.395,8,168.5,260.395,231
12937,273,0,99,372,5,318.668,5,195.2,318.668,273
12939,317,0,15,332,12,1140.25,12,454.3333333333333,1140.25,317
12941,0,1,360,360,1,377.49,1,381.0,377.49,0
12942,0,0,1,1,1,258.75,1,69.0,258.75,0
12943,47,1,194,241,2,248.25,2,111.0,248.25,47
12945,0,1,292,292,1,437.16,1,281.0,437.16,0
12946,0,0,72,72,1,324.45,1,149.0,324.45,0
12947,0,0,9,9,1,304.04,1,184.0,304.04,0
12948,6,1,366,373,2,126.24000000000001,2,112.0,126.24000000000001,6
12949,353,0,18,372,14,811.3914285714285,14,418.0,811.3914285714285,353
12951,311,0,22,334,9,238.85000000000002,9,128.77777777777777,238.85000000000002,311
12953,0,0,158,158,1,498.96000000000004,1,280.0,498.96000000000004,0
12954,0,1,274,274,1,162.45,1,83.0,162.45,0
12956,39,1,320,360,3,137.94,3,102.0,137.94,39
12957,186,0,177,364,5,937.8860000000001,5,427.4,937.8860000000001,186
12958,182,0,36,219,2,233.67,2,59.0,233.67,182
12959,0,0,120,120,1,150.95,1,109.0,150.95,0
12960,247,0,49,297,4,330.5175,4,344.75,330.51750000000004,247
12961,0,0,15,15,1,211.99,1,180.0,211.99,0
12963,153,0,1,155,5,348.992,5,185.6,348.992,153
12964,0,0,73,73,1,132.24,1,56.0,132.24,0
12967,11,0,7,19,2,1323.01,2,417.0,1323.0100000000002,11
12969,0,1,238,238,1,122.45,1,55.0,122.45,0
12970,354,0,16,371,6,174.68833333333336,6,114.33333333333333,174.68833333333336,354
12971,357,0,2,360,33,144.93575757575758,33,160.54545454545453,144.93575757575758,357
12972,247,0,49,297,4,290.3,4,211.0,290.3,247
12973,0,0,49,49,1,385.55,1,31.0,385.55,0
12974,0,1,201,201,1,264.15,1,80.0,264.15,0
12975,296,0,72,369,6,350.01500000000004,6,151.83333333333334,350.01500000000004,296
12976,286,0,14,301,7,345.3971428571428,7,303.2857142857143,345.3971428571429,286
12977,9,0,137,147,3,158.21333333333334,3,38.666666666666664,158.21333333333334,9
12978,344,0,21,365,5,500.564,5,278.8,500.564,344
12979,0,1,365,365,1,517.7,1,520.0,517.7,0
12980,351,0,22,373,12,739.2400000000001,12,85.33333333333333,739.2400000000001,351
