Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime,CLV
98,353,2,429.6,2,165.5,429.6,255,600.2630136986302
2,2,1,173.55,1,121.0,173.55,0,0.0
368,368,1,485.31,1,182.0,485.31,0,0.0
56,56,1,301.58000000000004,1,144.0,301.58000000000004,0,0.0
46,74,2,384.3,2,364.5,384.3,28,58.96109589041097
35,110,3,163.44,3,104.66666666666667,163.44000000000003,75,100.75068493150685
99,165,3,1211.4533333333334,3,928.0,1211.4533333333334,66,657.1719452054795
31,57,4,3287.86,4,1674.25,3287.86,25,900.7835616438356
81,357,4,853.2725,4,303.25,853.2725,276,2580.857095890411
71,71,1,632.68,1,251.0,632.68,0,0.0
63,123,2,415.045,2,240.0,415.045,60,136.4531506849315
241,241,1,454.36,1,258.0,454.36,0,0.0
92,92,1,326.65,1,170.0,326.65,0,0.0
318,318,1,56.73,1,1.0,56.73,0,0.0
59,59,1,132.8,1,129.0,132.8,0,0.0
162,318,3,980.4,3,611.6666666666666,980.4,156,1257.0608219178082
158,172,2,1535.27,2,1276.0,1535.27,14,117.77413698630137
325,325,1,211.95,1,95.0,211.95,0,0.0
10,368,49,410.8069387755102,49,176.69387755102042,410.8069387755102,358,19743.49402739726
5,361,13,869.8830769230769,13,554.0,869.8830769230769,356,11029.640767123286
14,302,13,388.35846153846154,13,239.0,388.35846153846154,288,3983.600219178082
45,45,1,426.26,1,236.0,426.26,0,0.0
32,137,12,605.6241666666666,12,268.5833333333333,605.6241666666666,105,2090.647808219178
35,259,3,2352.21,3,822.0,2352.21,223,4311.31093150685
35,143,3,727.7400000000001,3,415.0,727.7400000000001,108,645.9938630136987
1,243,6,1127.5116666666665,6,658.1666666666666,1127.5116666666665,241,4466.799643835616
212,289,29,816.944827586207,29,932.4827586206897,816.944827586207,77,4997.911780821918
14,313,11,237.4727272727273,11,95.45454545454545,237.4727272727273,298,2132.700273972603
119,317,6,304.4633333333333,6,179.83333333333334,304.4633333333333,197,985.960712328767
165,165,1,708.1,1,414.0,708.1,0,0.0
67,67,1,1037.28,1,523.0,1037.28,0,0.0
366,366,1,285.29999999999995,1,174.0,285.29999999999995,0,0.0
14,374,11,400.5190909090909,11,258.3636363636364,400.5190909090909,360,4345.357808219178
39,39,1,452.0,1,252.0,452.0,0,0.0
1,212,3,208.92333333333332,3,93.66666666666667,208.92333333333332,210,360.60739726027396
276,276,1,357.4,1,130.0,357.4,0,0.0
256,256,2,22.67,2,15.0,22.67,0,0.0
36,280,2,2602.7000000000003,2,2224.5,2602.7000000000003,244,3479.774246575343
196,196,1,393.72,1,302.0,393.72,0,0.0
71,309,8,212.17375,8,87.375,212.17375,238,1106.791287671233
220,220,1,1126.0,1,561.0,1126.0,0,0.0
53,232,2,148.5,2,184.0,148.5,179,145.65205479452055
44,44,1,955.2,1,324.0,955.2,0,0.0
220,220,1,539.25,1,362.0,539.25,0,0.0
95,371,7,599.35,7,242.28571428571428,599.35,276,3172.4498630136986
64,64,1,3084.02,1,1753.0,3084.02,0,0.0
277,277,1,580.08,1,400.0,580.08,0,0.0
66,235,2,668.28,2,538.5,668.28,168,615.1837808219178
112,112,1,385.7,1,212.0,385.7,0,0.0
10,368,12,213.54833333333332,12,116.5,213.54833333333332,357,2506.4138630136986
24,305,9,737.8211111111111,9,386.55555555555554,737.8211111111111,280,5093.997808219178
134,283,3,324.57666666666665,3,169.66666666666666,324.57666666666665,149,397.4952602739726
130,165,2,193.4,2,146.0,193.4,34,36.030684931506855
164,164,1,316.48,1,192.0,316.48,0,0.0
51,278,5,419.396,5,360.0,419.396,227,1304.1492054794521
322,322,1,1807.98,1,1074.0,1807.98,0,0.0
263,374,2,683.945,2,352.0,683.9449999999999,110,412.24082191780815
44,44,1,732.94,1,449.0,732.94,0,0.0
14,14,1,276.5,1,145.0,276.5,0,0.0
86,352,3,1882.1333333333334,3,822.6666666666666,1882.1333333333332,265,4099.441095890411
14,368,16,553.390625,16,270.875,553.390625,353,8563.151369863013
120,276,2,240.94,2,261.0,240.94,156,205.95419178082193
84,84,1,980.25,1,688.0,980.25,0,0.0
136,136,1,175.78,1,175.0,175.78,0,0.0
211,333,6,262.61333333333334,6,227.66666666666666,262.61333333333334,121,522.3487123287672
21,59,2,458.235,2,180.0,458.235,37,92.90243835616438
84,84,1,468.5,1,240.0,468.5,0,0.0
318,318,1,129.23,1,1.0,129.23,0,0.0
7,358,4,1681.295,4,599.5,1681.295,351,6467.22789041096
21,71,2,592.59,2,274.0,592.5899999999999,49,159.10635616438356
44,44,1,249.24,1,113.0,249.24,0,0.0
3,302,7,615.5114285714286,7,254.42857142857142,615.5114285714286,299,3529.494301369863
280,280,1,70.0,1,48.0,70.0,0,0.0
318,318,1,77.52,1,1.0,77.52,0,0.0
17,101,4,139.2175,4,98.75,139.2175,83,126.63071232876713
93,162,2,311.40999999999997,2,157.5,311.40999999999997,69,117.73857534246574
28,162,3,275.63,3,175.66666666666666,275.63,133,301.3051232876712
17,372,5,198.1,5,144.4,198.1,354,960.6493150684931
21,79,2,923.97,2,592.0,923.97,58,293.6452602739726
212,212,1,637.2,1,331.0,637.2,0,0.0
58,213,2,734.52,2,342.5,734.52,155,623.838904109589
9,369,13,551.2353846153845,13,301.84615384615387,551.2353846153845,359,7048.261753424656
10,359,3,621.91,3,202.66666666666666,621.91,348,1778.8329863013698
35,233,3,247.96,3,128.33333333333334,247.96,198,403.52942465753426
57,325,6,674.83,6,243.0,674.83,267,2961.8566027397264
26,44,2,443.05,2,212.5,443.05,18,43.69808219178082
155,155,3,715.02,3,528.3333333333334,715.02,0,0.0
14,282,5,350.37800000000004,5,198.2,350.37800000000004,267,1281.5195342465756
140,140,1,299.02,1,271.0,299.02,0,0.0
99,284,3,503.67,3,314.0,503.67,185,765.8543835616439
17,213,6,210.69000000000003,6,205.5,210.69000000000003,196,678.8258630136987
7,368,12,203.74,12,53.333333333333336,203.74,360,2411.388493150685
40,40,1,104.19999999999999,1,45.0,104.19999999999999,0,0.0
12,94,4,308.2375,4,232.25,308.2375,81,273.6135616438356
318,318,1,21.0,1,1.0,21.0,0,0.0
40,40,1,415.79,1,323.0,415.79,0,0.0
10,355,6,384.83500000000004,6,150.83333333333334,384.83500000000004,345,2182.4889041095894
24,361,5,694.5980000000001,5,502.6,694.5980000000001,337,3206.5688493150687
49,267,4,862.4475,4,485.25,862.4475,217,2050.9710410958905
24,24,1,417.8,1,214.0,417.8,0,0.0
196,196,1,140.14,1,140.0,140.14,0,0.0
1,304,16,692.88375,16,405.8125,692.88375,302,9172.641863013698
52,332,6,573.7900000000001,6,296.6666666666667,573.79,279,2631.5738630136984
145,232,2,1240.53,2,848.5,1240.53,87,591.3759452054794
21,59,2,779.11,2,361.0,779.11,37,157.95654794520547
92,329,5,568.214,5,274.2,568.2139999999999,237,1844.7495616438355
156,200,2,402.44,2,347.0,402.44,44,97.0266301369863
18,161,3,1171.3933333333332,3,692.0,1171.3933333333332,143,1376.788328767123
171,184,2,245.0,2,168.5,245.0,12,16.109589041095887
28,92,2,620.615,2,388.5,620.615,64,217.6403287671233
374,374,1,141.0,1,1.0,141.0,0,0.0
14,179,4,570.2275,4,315.75,570.2275,165,1031.0963013698629
275,275,1,249.8,1,86.0,249.8,0,0.0
70,263,2,413.135,2,215.0,413.135,193,436.9044109589041
21,247,6,826.6966666666667,6,476.1666666666667,826.6966666666667,225,3057.645205479452
66,330,3,480.1933333333333,3,235.66666666666666,480.1933333333334,263,1038.0069589041098
45,304,4,441.03,4,260.25,441.03,259,1251.800219178082
3,331,27,525.9825925925926,27,201.74074074074073,525.9825925925926,327,12723.014547945206
73,337,3,264.65000000000003,3,119.33333333333333,264.65000000000003,263,572.0790410958905
18,332,5,334.22799999999995,5,274.6,334.22799999999995,313,1433.0597808219177
14,101,3,87.91666666666667,3,62.333333333333336,87.91666666666667,86,62.14383561643836
70,70,1,97.05000000000001,1,31.0,97.05000000000001,0,0.0
162,162,1,1950.98,1,762.0,1950.98,0,0.0
59,59,1,261.35,1,80.0,261.35,0,0.0
61,198,3,785.5533333333333,3,379.0,785.5533333333333,137,884.5545753424657
72,72,1,162.0,1,216.0,162.0,0,0.0
9,253,10,313.824,10,152.3,313.824,244,2097.8919452054797
260,304,2,119.7,2,90.5,119.7,43,28.20328767123288
150,362,2,594.08,2,146.0,594.08,212,690.1093698630136
53,305,2,125.3,2,64.0,125.30000000000001,251,172.3304109589041
30,30,1,1248.42,1,370.0,1248.42,0,0.0
14,313,6,1262.6466666666668,6,569.1666666666666,1262.6466666666668,298,6185.2390136986305
21,302,2,382.12,2,115.0,382.12,280,586.266301369863
242,242,1,2622.481,1,1460.0,2622.481,0,0.0
231,231,1,211.15,1,60.0,211.15,0,0.0
37,37,1,619.5,1,349.0,619.5,0,0.0
189,214,2,478.625,2,168.0,478.625,24,62.94246575342465
44,119,5,302.34000000000003,5,239.4,302.34,74,306.4816438356164
191,302,2,197.55,2,88.0,197.55,111,120.153698630137
11,337,9,1850.3022222222223,9,1272.111111111111,1850.3022222222223,325,14827.764383561645
3,362,24,711.6975000000001,24,419.1666666666667,711.6974999999999,358,16753.164164383557
1,374,23,510.6821739130435,23,236.65217391304347,510.6821739130435,373,12003.129780821917
1,362,8,527.52625,8,337.0,527.52625,360,4162.398904109589
7,7,1,89.14,1,107.0,89.14,0,0.0
116,116,2,1069.455,2,701.5,1069.455,0,0.0
56,56,1,134.6,1,51.0,134.6,0,0.0
273,273,1,110.95,1,36.0,110.95,0,0.0
32,158,3,282.37,3,93.66666666666667,282.37,126,292.42701369863016
57,57,1,973.68,1,846.0,973.68,0,0.0
164,301,3,275.00666666666666,3,78.0,275.00666666666666,137,309.6650410958904
70,144,2,425.955,2,282.0,425.955,74,172.71599999999998
226,226,1,339.75,1,111.0,339.75,0,0.0
53,53,1,638.11,1,373.0,638.11,0,0.0
165,269,4,412.175,4,262.25,412.175,104,469.7665753424658
269,320,3,240.99333333333334,3,143.66666666666666,240.99333333333334,51,101.01912328767123
19,169,5,978.7620000000001,5,638.2,978.762,150,2011.1547945205475
4,357,9,289.0211111111111,9,134.88888888888889,289.0211111111111,353,2515.6714246575343
2,366,20,1055.397,20,499.95,1055.397,363,20992.28005479452
247,312,2,669.525,2,385.0,669.525,65,238.46095890410956
1,366,10,279.75300000000004,10,128.7,279.753,365,2797.5299999999997
24,371,7,1340.6928571428573,7,815.0,1340.6928571428573,347,8922.035479452055
226,226,1,277.93,1,94.0,277.93,0,0.0
5,142,6,413.1566666666667,6,274.1666666666667,413.1566666666667,137,930.4514520547946
21,107,2,678.475,2,348.0,678.4749999999999,86,319.7197260273972
19,171,3,428.7033333333333,3,311.3333333333333,428.7033333333333,151,532.0619452054794
7,220,4,566.69,4,285.5,566.6899999999999,213,1322.7941917808218
23,260,4,351.375,4,368.75,351.375,237,912.6123287671232
78,290,3,566.2766666666668,3,244.66666666666666,566.2766666666668,212,986.7176986301371
19,19,1,233.84,1,124.0,233.84,0,0.0
157,157,1,829.25,1,234.0,829.25,0,0.0
78,283,5,1375.96,5,640.8,1375.96,205,3863.997260273973
25,325,3,680.3066666666667,3,253.0,680.3066666666667,300,1677.468493150685
10,28,2,264.625,2,88.5,264.625,17,24.650000000000002
134,134,2,1855.25,2,1.0,1855.25,0,0.0
8,8,1,155.35,1,148.0,155.35,0,0.0
21,30,2,856.845,2,232.5,856.845,8,37.56032876712329
165,169,2,203.035,2,107.0,203.035,3,3.337561643835616
261,261,1,1201.52,1,1359.0,1201.52,0,0.0
95,227,4,1009.4425,4,438.25,1009.4425,131,1449.1722465753426
122,318,3,308.46999999999997,3,156.0,308.46999999999997,195,494.3971232876712
176,176,1,254.55,1,97.0,254.55,0,0.0
5,368,16,316.314375,16,92.0625,316.314375,363,5033.298328767123
1,371,144,155.9576388888889,144,91.03472222222223,155.9576388888889,369,22704.01397260274
35,157,4,701.62,4,222.25,701.62,121,930.3673424657535
80,80,1,268.27,1,189.0,268.27,0,0.0
1,329,10,521.8709999999999,10,229.0,521.8709999999999,327,4675.392246575341
95,374,5,1422.3300000000002,5,804.0,1422.33,278,5416.544383561643
22,371,5,697.86,5,460.0,697.86,349,3336.344383561644
91,91,1,347.8,1,198.0,347.8,0,0.0
93,100,2,391.475,2,140.5,391.475,7,15.015479452054796
5,5,1,320.08,1,196.0,320.08,0,0.0
108,277,6,234.09666666666666,6,168.16666666666666,234.09666666666666,169,650.3397808219178
2,43,3,1026.2166666666667,3,600.0,1026.2166666666667,41,345.8209589041096
11,11,1,949.82,1,598.0,949.82,0,0.0
86,86,1,168.69000000000003,1,102.0,168.69000000000003,0,0.0
92,92,1,1895.0,1,1100.0,1895.0,0,0.0
121,121,1,282.3,1,104.0,282.3,0,0.0
200,200,1,124.25,1,109.0,124.25,0,0.0
171,171,1,98.7,1,53.0,98.7,0,0.0
24,45,2,150.04,2,103.0,150.04,21,17.264876712328768
303,303,1,55.5,1,46.0,55.5,0,0.0
93,93,1,519.45,1,458.0,519.45,0,0.0
32,238,3,317.81666666666666,3,303.3333333333333,317.81666666666666,206,538.1115068493151
7,372,7,391.5585714285714,7,231.0,391.5585714285714,365,2740.91
234,234,1,337.4,1,285.0,337.4,0,0.0
10,155,6,381.22,6,155.16666666666666,381.22,144,902.3947397260274
165,165,1,1230.33,1,582.0,1230.33,0,0.0
171,367,2,394.225,2,161.0,394.225,195,421.2267123287672
245,245,1,728.5,1,324.0,728.5,0,0.0
49,49,1,398.52,1,249.0,398.52,0,0.0
99,164,4,111.225,4,48.5,111.225,65,79.22876712328767
148,329,2,90.75,2,16.0,90.75,181,90.0041095890411
46,46,1,266.93,1,140.0,266.93,0,0.0
9,260,6,143.91833333333332,6,58.833333333333336,143.91833333333332,250,591.445205479452
170,170,1,426.47,1,177.0,426.47,0,0.0
7,37,2,235.925,2,115.5,235.925,30,38.78219178082192
264,264,1,381.0,1,182.0,381.0,0,0.0
1,60,2,276.04,2,107.5,276.04,58,87.72778082191782
57,57,1,1533.8899999999999,1,3199.0,1533.8899999999999,0,0.0
165,165,1,219.35,1,137.0,219.35,0,0.0
106,312,3,194.75,3,94.66666666666667,194.75,206,329.741095890411
136,136,1,1071.82,1,505.0,1071.82,0,0.0
78,199,6,331.4733333333333,6,276.3333333333333,331.4733333333333,121,659.3140821917808
29,29,1,1092.81,1,872.0,1092.81,0,0.0
101,136,2,162.685,2,135.0,162.685,34,30.308438356164388
17,310,4,358.7375,4,148.25,358.7375,293,1151.8913698630138
71,224,4,719.74,4,521.75,719.74,153,1206.7969315068494
19,19,1,330.35,1,145.0,330.35,0,0.0
4,98,3,140.81666666666666,3,62.333333333333336,140.8166666666667,94,108.79534246575344
201,283,2,633.315,2,149.0,633.315,81,281.0877534246576
170,312,2,267.495,2,194.5,267.495,142,208.13309589041097
14,63,2,259.525,2,102.5,259.525,48,68.25863013698628
137,329,3,562.6,3,380.3333333333333,562.6,191,883.2049315068493
35,70,2,262.47,2,83.0,262.47,34,48.89852054794521
94,94,1,540.52,1,344.0,540.52,0,0.0
33,370,7,249.59714285714287,7,177.42857142857142,249.59714285714287,337,1613.1497534246575
247,247,1,128.07999999999998,1,92.0,128.07999999999998,0,0.0
30,315,13,364.7692307692308,13,53.84615384615385,364.7692307692308,284,3689.665753424658
157,277,2,259.315,2,69.5,259.315,120,170.50849315068493
1,357,6,246.83833333333334,6,156.16666666666666,246.83833333333337,356,1444.5114520547947
186,186,1,92.30000000000001,1,174.0,92.30000000000001,0,0.0
99,99,2,118.03,2,84.0,118.03,0,0.0
63,372,41,146.2641463414634,41,57.292682926829265,146.2641463414634,308,5060.338739726028
25,374,11,359.03363636363633,11,106.27272727272727,359.03363636363633,349,3776.2469315068493
205,205,1,528.5600000000001,1,170.0,528.5600000000001,0,0.0
9,228,9,299.4166666666667,9,164.33333333333334,299.4166666666667,219,1616.85
3,368,13,344.6392307692308,13,234.0,344.6392307692308,365,4480.31
73,310,3,438.40000000000003,3,249.0,438.40000000000003,237,853.9791780821918
5,155,17,204.27117647058824,17,153.47058823529412,204.27117647058824,149,1417.586
40,373,2,399.5,2,170.0,399.5,333,728.9506849315069
18,362,22,221.86818181818182,22,102.13636363636364,221.86818181818182,344,4600.269589041096
78,229,2,161.32,2,49.0,161.32,151,133.47572602739726
318,318,1,15.58,1,1.0,15.58,0,0.0
23,23,1,765.36,1,624.0,765.36,0,0.0
311,311,1,208.0,1,58.0,208.0,0,0.0
17,227,4,508.045,4,314.5,508.04499999999996,209,1163.6318356164381
81,81,1,330.0,1,200.0,330.0,0,0.0
113,113,1,148.95,1,51.0,148.95,0,0.0
63,308,5,390.08000000000004,5,173.6,390.08000000000004,245,1309.172602739726
197,364,4,413.68,4,251.0,413.68,167,757.0910684931507
8,38,4,153.21,4,60.0,153.21,29,48.69139726027398
72,319,4,645.4,4,269.25,645.4,247,1747.0005479452054
19,19,1,147.27,1,51.0,147.27,0,0.0
94,94,1,575.1,1,292.0,575.1,0,0.0
329,329,1,54.22,1,26.0,54.22,0,0.0
255,255,1,68.25,1,27.0,68.25,0,0.0
61,131,2,492.31,2,305.5,492.31,69,186.13364383561645
15,225,5,454.27,5,141.4,454.27,210,1306.804109589041
144,144,1,152.45,1,231.0,152.45,0,0.0
14,112,2,877.62,2,524.0,877.6200000000001,98,471.26991780821925
110,138,2,334.115,2,191.0,334.115,28,51.2614794520548
33,359,6,636.6533333333333,6,598.6666666666666,636.6533333333333,325,3401.2986301369865
9,28,3,213.33333333333334,3,118.0,213.33333333333334,19,33.31506849315068
317,317,1,337.66999999999996,1,144.0,337.66999999999996,0,0.0
11,260,3,558.9833333333333,3,302.0,558.9833333333333,248,1139.4071232876713
75,75,1,363.38,1,284.0,363.38,0,0.0
1,371,11,278.4109090909091,11,138.72727272727272,278.4109090909091,370,3104.472328767124
33,317,2,826.65,2,329.0,826.6500000000001,284,1286.403287671233
21,190,2,474.21,2,311.5,474.21,169,439.13145205479447
107,333,3,337.92,3,1056.0,337.92,226,627.6979726027397
30,226,2,931.885,2,553.0,931.885,195,995.7127397260274
37,326,8,175.79625000000001,8,132.375,175.79625000000001,289,1113.536794520548
17,210,2,320.065,2,139.5,320.065,192,336.72591780821915
19,19,1,222.4,1,100.0,222.4,0,0.0
17,138,4,96.36500000000001,4,31.0,96.36500000000001,121,127.78263013698633
23,23,1,329.3,1,201.0,329.3,0,0.0
94,295,8,63.6875,8,171.875,63.6875,201,280.57397260273973
32,32,1,263.38,1,140.0,263.38,0,0.0
211,211,1,157.35,1,33.0,157.35,0,0.0
17,179,2,148.875,2,69.5,148.875,162,132.15205479452055
99,295,2,148.10500000000002,2,117.5,148.10500000000002,195,158.2491780821918
49,49,1,366.4,1,108.0,366.4,0,0.0
58,58,1,340.33,1,139.0,340.33,0,0.0
64,64,1,833.53,1,493.0,833.53,0,0.0
212,318,2,509.21,2,266.0,509.21,105,292.9701369863013
31,130,2,254.455,2,88.5,254.45499999999998,98,136.63884931506848
16,266,3,342.0,3,600.0,342.0,249,699.9287671232877
60,289,3,308.17333333333335,3,222.66666666666666,308.17333333333335,228,577.5083835616438
15,257,5,544.296,5,388.0,544.296,241,1796.9224109589043
187,187,1,1651.72,1,807.0,1651.72,0,0.0
4,374,9,468.58111111111117,9,201.44444444444446,468.58111111111117,370,4275.000273972603
36,36,1,223.98,1,336.0,223.98,0,0.0
8,225,3,270.3666666666667,3,119.66666666666667,270.3666666666667,216,479.99342465753426
78,320,3,511.5933333333333,3,199.33333333333334,511.5933333333333,242,1017.5801643835617
36,366,5,753.04,5,196.8,753.04,330,3404.153424657534
262,262,1,10953.5,1,1.0,10953.5,0,0.0
207,361,3,107.95333333333333,3,97.33333333333333,107.95333333333333,153,135.75501369863014
2,374,39,495.7423076923077,39,312.35897435897436,495.7423076923077,371,19651.768356164383
26,211,2,298.8,2,81.0,298.8,184,301.25589041095895
29,366,8,191.9625,8,117.75,191.9625,337,1417.8928767123289
228,228,1,35.28,1,108.0,35.28,0,0.0
47,361,4,380.9925,4,188.5,380.9925,314,1311.0317260273973
30,30,1,197.31,1,145.0,197.31,0,0.0
14,185,7,320.3128571428571,7,203.85714285714286,320.3128571428571,171,1050.4506575342466
16,374,42,1197.4138095238095,42,831.0,1197.4138095238097,357,49189.1031780822
175,303,8,212.32,8,201.125,212.32,128,595.659397260274
16,365,5,205.82,5,90.0,205.82000000000002,349,983.9887671232877
372,372,1,181.65,1,31.0,181.65,0,0.0
11,243,8,260.395,8,168.5,260.395,231,1318.3834520547944
99,372,5,318.668,5,195.2,318.668,273,1191.7310136986302
15,332,12,1140.25,12,454.3333333333333,1140.25,317,11883.591780821918
360,360,1,377.49,1,381.0,377.49,0,0.0
1,1,1,258.75,1,69.0,258.75,0,0.0
194,241,2,248.25,2,111.0,248.25,47,63.93287671232876
292,292,1,437.16,1,281.0,437.16,0,0.0
72,72,1,324.45,1,149.0,324.45,0,0.0
9,9,1,304.04,1,184.0,304.04,0,0.0
366,373,2,126.24000000000001,2,112.0,126.24000000000001,6,4.150356164383561
18,372,14,811.3914285714285,14,418.0,811.3914285714285,353,10986.017643835616
22,334,9,238.85000000000002,9,128.77777777777777,238.85000000000002,311,1831.619589041096
158,158,1,498.96000000000004,1,280.0,498.96000000000004,0,0.0
274,274,1,162.45,1,83.0,162.45,0,0.0
320,360,3,137.94,3,102.0,137.94,39,44.21638356164384
177,364,5,937.8860000000001,5,427.4,937.8860000000001,186,2389.6821369863014
36,219,2,233.67,2,59.0,233.67,182,233.02980821917808
120,120,1,150.95,1,109.0,150.95,0,0.0
49,297,4,330.5175,4,344.75,330.51750000000004,247,894.6610684931508
15,15,1,211.99,1,180.0,211.99,0,0.0
1,155,5,348.992,5,185.6,348.992,153,731.4489863013699
73,73,1,132.24,1,56.0,132.24,0,0.0
7,19,2,1323.01,2,417.0,1323.0100000000002,11,79.7430684931507
238,238,1,122.45,1,55.0,122.45,0,0.0
16,371,6,174.68833333333336,6,114.33333333333333,174.68833333333336,354,1016.5425205479453
2,360,33,144.93575757575758,33,160.54545454545453,144.93575757575758,357,4678.049753424658
49,297,4,290.3,4,211.0,290.3,247,785.7983561643836
49,49,1,385.55,1,31.0,385.55,0,0.0
201,201,1,264.15,1,80.0,264.15,0,0.0
72,369,6,350.01500000000004,6,151.83333333333334,350.01500000000004,296,1703.086684931507
14,301,7,345.3971428571428,7,303.2857142857143,345.3971428571429,286,1894.4796712328769
137,147,3,158.21333333333334,3,38.666666666666664,158.21333333333334,9,11.70345205479452
21,365,5,500.564,5,278.8,500.564,344,2358.8221369863018
365,365,1,517.7,1,520.0,517.7,0,0.0
22,373,12,739.2400000000001,12,85.33333333333333,739.2400000000001,351,8530.627068493151
30,242,7,336.32428571428574,7,205.85714285714286,336.32428571428574,211,1360.9615616438355
234,234,1,490.08000000000004,1,638.0,490.08000000000004,0,0.0
64,323,10,272.98400000000004,10,116.4,272.98400000000004,259,1937.0645479452055
56,324,3,251.17,3,122.0,251.17,268,553.2621369863014
60,365,18,368.20222222222225,18,221.77777777777777,368.20222222222225,304,5520.0070136986305
53,255,4,136.5,4,70.0,136.5,201,300.6739726027397
